"State","Date","Text","Sen_length"
"Utah","1895-05-08","Repealed  (Repealed 7/1/1985)    Section 22.0 0 [Last Modified: 2/24/2005 3:06:45 PM]   SEC.",18
"West Virginia","1872-12-01","Article 9099.0 [Last Modified: 6/18/2004 3:35:20 PM]  Article       9099.0 created by amendment         30  Section 1.0 0 [Last Modified: 6/18/2004 3:35:20 PM]  No Section Text  Amendment 30 [1902]   THE JUDICIAL AMENDMENT  ­The Supreme Court of Appeals shall consist of five judges.",48
"Arkansas","1868-02-11","No act shall embrace more than one subject, which shall be embraced in its title.",15
"Alabama","1867-11-05","He shall communicate to the General Assembly at every regular session, each case of reprieve, commutation, or pardon granted, stating the name and crime of the convict, the sentence, its date; and the date of the commutation, pardon or reprieve, with his reasons therefor.",44
"New York","1938-08-25","On or before July first, nineteen hundred sixty-four, the legislature shall provide, where such consent of a governing board is not granted, for adjudication and determination, on the law and the facts, in a proceeding initiated in the supreme court, of the issue of whether the annexation is in the over-all public interest.  (e) Local governments shall have power to take by eminent domain private property within their boundaries for public use together with excess land or property but no more than is sufficient to provide for appropriate disposition or use of land or property which abuts on that necessary for such public use, and to sell or lease that not devoted to such use.",115
"California","1879-05-07","A Secretary of State, a Controller, a Treasurer, an Attorney-General, and a Surveyor-General shall be elected at the same time and places, and in the same manner, as the Governor and Lieutenant-Governor, and their terms of office shall be the same as that of the Governor.",46
"New Hampshire","1792-09-05","The legislature may by general law authorize cities and towns to adopt or amend their charters or forms of government in any way which is not in conflict with general law, provided that such charters or amendments shall become effective only upon the approval of the voters of each such city or town on a referendum.",56
"California","1849-11-13","Each county, town, city, and incorporated village, shall make provision for the support of its own officers, subject to such restrictions and regulations as the legislature may prescribe.",28
"Ohio","1851-09-01","Only terms beginning on or after January 1, 1995 shall be considered in determining an individual's eligibility to hold the office of lieutenant governor, secretary of state, treasurer of state, attorney general, or auditor of state.",36
"Ohio","1851-09-01","Every citizen of the United States being twenty-one years of age who is not entitled to vote at all elections shall be entitled to vote for the choice of electors for President and Vice President of the United States if he shall have been a resident of the state, county, township or ward in which he desires to vote such time as may be provided by law, provided that he is not entitled to vote for the choice of electors for President and Vice President of the United States in any other state.",93
"Maryland","1867-08-17","If, by reason of such a condition or by reason of an equal vote for two or more candidates a sufficient number of judges duly qualified as to residence shall not be elected at any election, then it shall be the duty of the Governor to order a new election for such unfilled office or offices.",56
"Louisiana","1921-04-29","A 0 [Last Modified: 6/16/2004 9:52:20 AM]   (a) Confederate Veterans who have been residents of this State for five years, and who served from the date of their enlistment until the close of the late Civil War, or until honorably discharged, and whose income is less than one thousand ($1,000.00) dollars per annum.",57
"South Carolina","1896-01-01","11, Union County, South Carolina, such school district being hereby expressly authorized to issue bonds to an amount not to exceed twenty (20) per centum of the value of all taxable property in the territory embraced in said school district, as valued or assessed for taxation by the State, the proceeds of such bonds to be applied solely to the erection, equipment and maintenance of schools and school buildings in said district, and the purchase of grounds, under such restrictions and limitations as the General Assembly may prescribe, and where the question of incurring such indebtedness is to be submitted to the qualified electors of said school district, as provided in the Constitution, upon the question of bonded indebtedness.",119
"Montana","1889-02-22","Until otherwise provided by law the judicial districts of the State shall be constituted as follows: First district, Lewis and Clarke county; Second district, Silver Bow county; third district, Deer Lodge county; Fourth district, Missoula county; Fifth district, Beaverhead, Jefferson and Madison counties; Sixth district, Gallatin, Park and Meagher counties; Seventh district, Yellowstone, Custer and Dawson counties; Eighth district, Choteau, Cascade and Fergus counties.",64
"Florida","1887-01-01","(5)Judges of the district courts of appeal appointed by the governor shall take office on the effectivedate of this Article.",21
"Alabama","1901-11-28","No such bonds, warrants or other evidences of indebtednessissued by such corporation shall be considered indebtedness of such county or any municipalitytherein within the meaning of sections 224 and 225 of the Constitution of Alabama.",35
"New York","1938-08-25","The provisions of this section shall in no way limit or impair the jurisdiction of the supreme court as set forth in section seven of this article.",27
"Colorado","1876-03-14","[Approved by the voters on Nov. 3, 1992; effective when proclaimed by the governor on  Jan.",16
"Florida","1968-11-05","All courts except the supreme court may sit in divisions as maybe established by general law.",16
"Ohio","1851-09-01","The presiding judge shall have such duties and exercise such powers as are prescribed by rule of the supreme court.",20
"Louisiana","1974-01-01","The judiciary commission shall consist of (1) one court of appeal judge and two district court judges selected by the supreme court; (2) two attorneys admitted to the practice of law for at least ten years, and one attorney admitted to the practice of law for at least three years but not more than ten years, selected by the Conference of Court of Appeal Judges or its successor.",68
"South Dakota","1889-10-01","The Lieutenant Governor shall be President of the Senate, but shall have only a casting vote therein.",17
"Texas","1869-12-03","Perpetuities and monopolies are contrary to the genius of a free government, and shall never be allowed, nor shall the law of primogeniture or entailments ever be in force in this State.",32
"New York","1938-08-25","No justice of the appellate division shall, within the department to which he may be designated to perform the duties of an appellate justice, exercise any of the powers of a justice of the supreme court, other than those of a justice out of court, and those pertaining to the appellate division, except that he may decide causes or proceedings theretofore submitted, or hear  and decide motions submitted by consent of counsel, but any such justice, when not actually engaged in performing the duties of such appellate justice in the department to which he is designated, may hold any term of the supreme court and exercise any of the powers of a justice of the supreme court in any judicial district in any other department of the state.  k.",129
"California","1879-05-07","The charter, so ratified, may be amended at intervals of not less than two years by proposals therefor, submitted by the legislative authority of the city to the qualified electors thereof at a general or special election, held at least forty days after the publica­tion of such proposals for twenty days in a daily newspaper of general circulation in such city, and ratified by a majority of the electors­ voting thereon, and approved by the legislature as herein provided for the approval of the charter.",85
"Hawaii","1968-11-05","Commission and council positions and vacancies not filled within the times specified shall be filled promptly thereafter by the supreme court.",21
"South Carolina","1861-04-08","No person shall be eligible to a seat in the Legislature whilst he holds any office of profit or trust under this State, the Confederate States of America, or either of them, or under any other power, except officers in the militia, army, or navy of this State, Justices of the Peace, or Justices of the County Courts, while they receive no salaries; nor shall any contractor of the army or navy of this State, the Confederate States of America, or either of them, or the agents of such contractor, be eligible to a seat in either House.",98
"Florida","1968-11-05","Such portions of property as are used predominantly for educational, literary, scientific, religious or charitable purposes may be exempted by general law from taxation. (b) There shall be exempt from taxation, cumulatively, to every head of a family residing in this state, household goods and personal effects to the value fixed by general law, not less than one thousand dollars, and to every widow or person who is blind or totally and permanently disabled, property to the value fixed by general law not less than five hundred dollars.",88
"Mississippi","1868-03-13","In all causes tried by a Justice of the Peace, the right of appeal shall be secured, under such rules and regulations as shall be prescribed by law.",28
"Florida","1968-11-05","The chief judge of a circuit may authorize a county court judgeto order emergency hospitalizations pursuant to Chapter 71-131, Laws of Florida, in the absencefrom the county of the circuit judge and the county court judge shall have the power toissue all temporary orders and temporary injunctions necessary or proper to the complete exerciseof such jurisdiction.",56
"North Dakota","1889-08-17","All letters, receipts and vouchers in the same office now filed by counties and pertaining to counties within the limits of North Dakota.",23
"Pennsylvania","1969-01-01","No commission shall issue creating special temporary criminal tribunals to try particular individuals or particular classes of cases.",18
"Colorado","1876-03-14","The lieutenant-governor shall be president of the senate, and shall vote only when the senate is equally divided.",18
"Mississippi","1890-11-01","All fines, penalties, forfeitures and escheats accruing to the State of Mississippi under the constitution and laws heretofore in force shall accrue to the use of the State of Mississippi under this constitution, except as herein otherwise provided.",38
"New Jersey","1947-11-04","This section shallapply to lands which have not been tidal flowed at any time during the 40 years immediatelypreceding adoption of this amendment with respect to any claim not specifically definedand asserted by the State within 1 year of the adoption of this amendment.",44
"West Virginia","1863-06-20","Each branch may punish its own members for disorderly behavior; and, with the concurrence of two-thirds of the members present, expel a member, but not a second time for the same offence.",32
"South Dakota","1889-10-01","If a corporation or syndicate violates any provision of § § 21 to 24, inclusive, of Article XVII, the attorney general shall commence an action in circuit court to enjoin any pending illegal purchase of land or livestock, or to force divestiture of land or livestock held in violation of § § 21 to 24, inclusive, of Article XVII.",55
"South Dakota","1889-10-01","The originals of the foregoing volumes which are to be copied, shall at any time after such copying shall have been completes, be delivered on demand to the proper authorities of the State of South Dakota.",36
"North Dakota","1889-08-17","The purchaser shall pay twenty (20) per cent of the purchase price at the time the contract is executed; thereafter annual payments shall be made of not less than six (6) per cent of the original purchase price.",38
"Colorado","1876-03-14","The general assembly shall provide, by general laws, for the organization and classification of cities and towns.",17
"Utah","1895-05-08","Until otherwise provided by law, the Governor, State Treasurer and State Auditor shall constitute a Board of Insane Asylum Commissioners.",20
"Minnesota","1857-08-30","Article 9.0 [Last Modified: 1/1/2003]   ARTICLE IX  FINANCES OF THE STATE, AND BANKS AND BANKING    Section 1.0 0 [Last Modified: 1/1/2003]   SECTION 1.",27
"Alabama","1865-09-12","That in prosecutions for the publication of papers investigating the official conduct of officers or men in public capacity, or when the matter published is proper for public information, the truth thereof may be given in evidence ; and that in all indictments for libels, the jury shall have  the right to determine the law and the facts, under the direction of the court.",63
"California","1879-05-07","Nothing in this Constitution contained shall be a limitation upon the provisions of this section.",15
"New York","1938-08-25","The clerk of each county in the city of New York shall be appointed, and be subject to removal, by the appellate division of the supreme court in the judicial department in which the county is located.",37
"Pennsylvania","1839-01-01","The judges of the supreme court shall hold their offices for the term of fifteen years, it they shall so long behave themselves well, (subject to the allotment hereinafter provided for, subsequent to the first election) ; the president judges of the several courts of common pleas, and of such other courts of record as are or shall be established by law, and all other judges required to be learned in the law, shall hold their offices for the term of ten years, if they shall so long behave themselves well; the associate judges of the courts of common pleas shall hold their offices for the term of five years if they shall so long behave themselves well: all of whom shall be commissioned by the governor, but for any reasonable cause, which shall not be sufficient grounds of impeachment, the governor shall remove any of them on the address of two, thirds of each branch of the legislature.",158
"South Carolina","1896-01-01","Should the casualties of war or contagious diseases render it unsafe to meet at the seat of government, then the Governor may, by proclamation, appoint a more secure and convenient place of meeting.",33
"West Virginia","1863-06-20","The trial of crimes and misdemeanors, unless herein other­wise provided, shall be by jury, and shall be held publicly and with­out unreasonable delay, in the county where the alleged offence was committed, unless upon petition of the accused and for good cause shown, or in consequence of the existence of war or insurrection in such county, it is removed to, or instituted in, some other county.",66
"Louisiana","1974-01-01","Notwithstanding any provision of law to the contrary, offenses in which punishment is necessarily confinement at hard labor may be charged in the same indictment or information with offenses in which the punishment may be confinement at hard labor; provided, however, that the joined offenses are of the same or similar character or are based on the same act or transaction or on two or more acts or transactions connected together or constituting parts of a common scheme or plan; and provided further, that cases so joined shall be tried by a jury composed of twelve jurors, ten of whom must concur to render a verdict.",106
"New Mexico","1911-01-01","The returns of all elections for officers who are chosen by the electors of more than one county shall be canvassed by the county canvassing board of each county as to the vote within their respective counties.",37
"Texas","1876-02-15","The four-year term applies to these officers who are elected at the general election in 1974 or thereafter.",18
"Illinois","1848-03-05","The supreme court may have original jurisdiction in cases relative to the revenue, in cases of mandamus, habeas corpus, and in such cases of impeachment as may be by law directed to be tried before it, and shall have appellate jurisdiction in all other cases.",45
"Michigan","1850-08-15","[This amendment repealing section 47 of article 4 passed the in the 1876 legislative session.",15
"Florida","1839-01-11","Neither house shall, without the consent of the other adjourn for more than three days, nor to any other place than that in which they may be sitting.",28
"Maryland","1867-08-17","A 5 [Last Modified: 1/1/2003]  No Section Text  Amendment 71 [1940]     [Act of 1939 CHAPTER 163.",18
"Arizona","1912-02-14","Questions upon bond issues or special assessments shall be submitted to the vote of real property tax payers, who shall also in all respects be qualified electors of this State, and of the political subdivisions thereof affected by such question.",40
"Arizona","1912-02-14","Prohibiting this state from using or requiring the use of languages other than English; exceptions  Section 3.",17
"Pennsylvania","1969-01-01","Gasoline taxes and motor license fees restricted. (a) All proceeds from gasoline and other motor fuel excise taxes, motor vehicle registration fees and license taxes, operators' license fees and other excise taxes imposed on products used in motor transportation after providing therefrom for (a) cost of administration and collection, (b) payment of obligations incurred in the construction and reconstruction of public highways and bridges shall be appropriated by the General Assembly to agencies of the State or political subdivisions thereof; and used solely for construction, reconstruction, maintenance and repair of and safety on public highways and bridges and costs and expenses incident thereto, and for the payment of obligations incurred for such purposes, and shall not be diverted by transfer or otherwise to any other purpose, except that loans may be made by the State from the proceeds of such taxes and fees for a single period not exceeding eight months, but no such loan shall be made within the period of one year from any preceding loan, and every loan made in any fiscal year shall be repayable within one month after the beginning of the next fiscal year.",190
"Alabama","1901-11-28","Thelegislature may hereafter, from time to time, by general, special or local laws, fix, regulate andalter the fees, commissions, allowances, compensation or salaries to be charged or received bythe judge of probate of Hale county, and may provide for the operation of his office.",44
"California","1879-05-07","If his conviction is reversed suspension terminates, and he shall be paid his salary for the period of suspension.",19
"Texas","1876-02-15","SHERIFF TO BE ASSESSOR AND COLLECTOR OF TAXES; COUNTIES HAVING 10,000 OR MORE INHABITANTS.– The Sheriff of each county, in addition to his other duties, shall be the Assessor and Collector of Taxes therefor, but in counties having 10,000 or more inhabitants, to be determined by the last preceding census of the United States, an Assessor and Collector of Taxes shall be elected as provided in Section 14 of this Article, and shall hold office for two (2) years and until his successor shall be elected and qualified.",88
"Michigan","1964-01-01","The state treasurer shall direct investment of the fund, and credit interest and earnings of the fund to the fund.",20
"Alabama","1901-11-28","After the ratification of this Constitution, no new debt shall be created against or incurred by this State, or its authority, except to repel invasion or suppress insurrection, and then only by a concurrence, of two-thirds of the members of each House of the Legislature, and the vote shall be taken by yeas and nays, and entered on the Journals; and any act creating or incurring any new debt against this State, except as herein provided for, shall be absolutely void; provided, the Governor may be authorized to negotiate temporary loans, never to exceed three hundred thousand dollars, to meet the deficiencies in the treasury, and until the same is paid no new loan shall be negotiated; provided further, that this section shall not be so construed as to prevent the issuance of bonds for the purpose of refunding the existing bonded indebtedness of the State.",146
"North Dakota","1889-08-17","All colleges, universities and other educational institutions, for the support of which lands have been granted to this state, or which are supported by a public tax, shall remain under the absolute and exclusive control of the state.",38
"Montana","1973-07-01","Section 4.3 0 [Last Modified: 3/25/2005 8:53:10 AM]  No Section Text  Amendment 22 [2001]   (3) Appropriations of the interest, income, or principal from the trust fund shall not be used to replace state or federal money used to fund tobacco disease prevention programs and state programs that existed on December 31, 1999, providing benefits, services, or coverage of the health care needs of the people of Montana.",71
"South Carolina","1861-04-08","The second Clause of the eleventh Article of the Constitution aforesaid, shall be altered to read as follows: ""No part of this Constitution shall be altered unless a bill to alter the same shall have been read on three several days in the House of Representatives, and on three several days in the Senate, and agreed to at the second and third readings by two-thirds of the whole Representation in each branch of the Legislature.",75
"Nevada","1864-03-21","When such majority shall so signify disapproval the law or resolution so disapproved shall be void and of no effect.",20
"Texas","1876-02-15","From and after January 1, 1951, the several counties of the State are authorized to levy ad valorem taxes upon all property within their respective boundaries for county purposes, except the first Three Thousand Dollars ($3,000) value of residential homesteads of married or unmarried adults, male or female, including those living alone, not to exceed thirty cents (30¢) on each One Hundred Dollars ($100) valuation, in addition to all other ad valorem taxes authorized by the Constitution of this State, provided the revenue derived therefrom shall be used for construction and maintenance of Farm to Market Roads or for Flood Control, except as herein otherwise provided.",106
"North Carolina","1971-07-01","The object of punishments being not only to satisfy justice, but also to reform the offender and thus prevent crime, murder, arson, burglary, and rape, and these only, may be punishable with death, if the General Assembly shall so enact.",40
"Alabama","1901-11-28","On Friday and Saturday next preceding the day of election in November, nineteen hundred and two, they shall sit in the court house of each county during such days, and shall register all applicants having the qualifications prescribed by Section 180 of this Constitution, and not disqualified under Section 182, who shall have reached the age of twenty-one years after the first day of August, nineteen hundred and two, or who shall prove to the reasonable satisfaction of the board that, by reason of physical disability or unavoidable absence from the county, they had no opportunity to register prior to the first day of August, nineteen hundred and two, and they shall not on such days register any other persons.",120
"Maryland","1867-08-17","The State's Attorney shall perform such duties and receive such fees and commissions as are now or may hereafter be prescribed by law, and if any State's Attorney shall receive any other fee or reward than such as is or may be allowed by Law, he shall, on conviction thereof, be removed from office; provided, that the State's Attorney for Baltimore City shall have power to appoint one Deputy, at a salary of not more than fifteen hundred dollars per annum, to be paid by the State's Attorney out of the fees of his office, as has heretofore been practised.",100
"Michigan","1909-01-01","No county shall be divided in the formation of senatorial districts, unless such county shall be equitably entitled to two or more senators.",23
"New York","1821-01-01","Such parts of common law, and of the acts of the legislature of the colony of New York, as together did form the law of the said colony on the nineteenth day of April, one thousand seven hundred and seventy   five, and the resolutions of the Congress of the said colony, and of the convention of the state of New York, in force on the twentieth day of April, one thousand seven hundred and seventy seven, which have not since expired, or been repealed or altered; and such acts of the legislature of this State as are now in force, shall  be and continue the law of this State, subject to such alterations as the legislature shall make concerning the same.",121
"New Mexico","1911-01-01","Every law making an appropriation shall distinctly specify the sum appropriated and the object to which it is to be applied.",21
"South Dakota","1889-10-01","A vacancy, as defined by law, in the office of a Supreme Court justice or circuit court judge, shall be filled by appointment of the Governor from one of two or more persons nominated by the judicial qualifications commission.",39
"California","1879-05-07","All provisions of this section. shall be self-executing and shall not require any legislative action in furtherance thereof, but this shall not prevent such legislative action; and all expenses that shall be incurred by the State Treasurer in the preparation of bonds herein provided for and in the advertising and sale thereof and all expenses incurred by any officer in reference thereto shall be paid from the General Fund of the State.",72
"Louisiana","1898-05-12","When the voter does not desire to vote an entire or straight party ticket, he may vote for candidates of any political party or nominating paper, by stamping a blank space to be left opposite the name of each candidate on said official ballot.",44
"Ohio","1851-09-01","Any vacancy occurring in said commission shall be filled by appointment of the governor, with the advice and consent of the senate, if the senate be in session, and if the senate be not in session, by the governor, but in such last case, such appointment shall expire at the end of the next session of the general assembly.",59
"Nevada","1864-03-21","The persons having the highest number of votes for the respective offices shall be declared elected; but in case any two or more have an equal and the highest number of votes for the same office, the Legislature shall, by joint vote of both houses, elect one of said persons to fill said office.",54
"South Carolina","1896-01-01","PROVIDED, that the limitations as to bonded indebtedness imposed by this section shall not apply to Westminster School District No. 17 of Oconee County, and that Westminster School District may incur bonded indebtedness to an amount not exceeding fifteen (15%) per centum of the assessed value of all taxable property therein, without regard to the amount of bonded indebtedness, now outstanding or hereafter created, of any municipal corporation or political subdivision located wholly or partly within said County.",78
"South Carolina","1896-01-01","Provided, further, that the limitations as to bonded indebtedness imposed by this section shall not apply to the bonded indebtedness of School District No. 3 of Lexington and Saluda Counties and the school district may incur bonded debt to the extent of not exceeding seventy-five percent of the assessed value of all taxable property therein.",55
"Kentucky","1891-09-28","Every person may freely and fully speak write and print on any subject, being responsible for the abuse of that liberty.",21
"New York","1938-08-25","The legislature may create districts of the district court which shall consist of an entire county or of an area less than a county.  f.",25
"South Carolina","1896-01-01","Amendment 55 [1927]   [This amendment added text to Article 8 Sec. 7 of the Constitution.",15
"Illinois","1818-08-26","The person having the highest number of votes shall be governor; but if two or more be equal and highest in votes, then one of them shall be chosen governor by joint ballot of both houses of the general assembly.",40
"South Carolina","1896-01-01","All vacancies in the Supreme Court, Court of Appeals, or Circuit Court shall be filled by elections as prescribed in Sections 3, 8, and 13 of this article; provided, that if the unexpired term does not exceed one year such vacancy may be filled by the Governor.",47
"Alabama","1901-11-28","9To create a public authority or corporation having such powers, managed and governed by such boardor governing body, and subject to such limitations as the governing bodies of the municipalitiesof Haleyville or Double Springs may impose, by approving and filing a certificate tothat effect in the office of the judge of probate or the secretary of state, or their respective successorsin function, and to delegate to such public authority or corporation and its board or governingbody all powers and authority conferred in this amendment upon the municipalities.",87
"North Dakota","1889-08-17","If two or more amendments shall be submitted at the same time they shall be submitted in such manner that the electors shall vote for or against each of such amendments separately.",32
"California","1879-05-07","[Governor’s budget-Budget bills-Other appropriations]  (a) Within the first 30 days of each regular session, the Governor shall submit to the Legislature, with an explanatory message, a budget for the ensuing fiscal year containing itemized statements of recommended state expenditures and estimated state revenues.",43
"Rhode Island","1986-12-04","After so much of the land and property has been appropriated for such public highway, street, place, park or parkway as is needed therefor, the remainder may be held and improved for any public purpose or purposes, or may be sold or leased for value with or without suitable restrictions, and in case of any such sale or lease, the person or persons from whom such remainder was taken shall have the first right to purchase or lease the same upon such terms as the state or city or town is willing to sell or lease the same.",98
"North Carolina","1868-07-01","Each member of the house of representatives shall be a qualified elector of the State, and shall have resided in the county for which he is chosen for one year immediately preceding his election.",34
"Alabama","1901-11-28","Thegoverning body of Marion county shall have the power to levy and collect a special county taxnot exceeding four mills on each dollar's worth of taxable property situated within the county, basedupon the valuation of such property as assessed for state taxation, the proceeds of such tax tobe used solely for the purpose of acquiring, constructing, enlarging, repairing, improving, equipping,furnishing, operating, or maintaining a county hospital or public hospital facilities in thecounty for which federal funds have been or may be provided.",83
"California","1879-05-07","""Investments"" as used in this subdivision includes property acquired by such insurer in the settlement or adjustment of claims against it but excludes investments in title plants and title records.",30
"Colorado","1876-03-14","If the person nominated is a member of the general assembly, he may take the oath of office of lieutenant governor, and the legislative seat to which he was elected shall be vacant and filled in the manner prescribed by law pursuant to section 2 of article V of this constitution.",51
"Louisiana","1861-03-01","If more than one amendment be submitted at a time, they shall be submitted in such manner and form that the people may vote for or against each amendment separately.",30
"Louisiana","1921-04-29","They shall exercise supervision over the several district attorneys throughout the State, and perform all other duties imposed by law.",20
"Texas","1876-02-15","This section does not apply to land that, previous to the effective date of this section, was found by a court of competent jurisdiction to be state owned or to land on which the state has given a mineral lease that on the effective date of this section was productive.  (d) Application for a patent under this section must be filed with the School Land Board within five years from the effective date of this section.  (e) This section is self-executing.  (f) This section expires on January 1, 1990.",89
"North Dakota","1981-01-01","An emergency measure takes effect upon its filing with the secretary of state or on a date specified in the measure.",21
"Rhode Island","1843-05-03","If, by reason of death, resignation, absence, or other cause, there be no governor or lieutenant-governor present, to preside in the senate, the senate shall elect one of their own members to preside during such absence or vacancy; and until such election is made by the senate, the secretary of state shall preside.",53
"Arizona","1912-02-14","Membership in a public retirement system is a contractual relationship that is subject to article II, section 25, and public retirement system benefits shall not be diminished or impaired.",29
"Minnesota","1857-08-30","For the purposes of the first election, the State shall constitute one district, and shall elect three members to the House of Representatives of the United States.",27
"Ohio","1851-09-01","Section 3.0 0 [Last Modified: 5/31/2006 6:04:42 PM]  No Section Text  Amendment 51 [1913]   ARTICLE VI.",20
"Nevada","1864-03-21","The enumeration of the inhabitants of this State shall be taken under the direction of the Legislature, if deemed necessary, in A.",22
"New York","1938-08-25","Net revenue shall be determined by deducting from gross revenues of the preceding year all costs of operation, maintenance and repairs for such year, or the legislature may provide that net revenue shall be determined by deducting from the average of the gross revenues of not to exceed five of the preceding years during which the public improvement or part thereof, or service, has been in operation, the average of all costs of operation, maintenance and repairs for the same years.",81
"Maryland","1851-05-13","Any citizen of this State who shall, after the adoption of this constitution, either in or out of this State, fight a duel with deadly weapons, or send or accept a challenge so to do, or who shall act as second, or knowingly aid or assist in any manner those thus offending, shall ever thereafter be incapable of holding any office of trust or profit under this State.",68
"Louisiana","1898-05-12","It shall visit and inspect all State, parish or municipal Institutions which are of a charitable, eleemosynary, correctional, or reformatory character, and all private institutions of like character utilized or aided by parochial or municipal authority, and all private insane asylums, whether so utilized or aided or not.",48
"Florida","1968-11-05","(1)Article IX, Section 17, of the Constitution of 1885, as amended, as it existed immediately beforethis Constitution, as revised in 1968, became effective, is adopted by this reference as a partof this revision as completely as though incorporated herein verbatim, except revenue bonds, revenuecertificates or other evidences of indebtedness hereafter issued thereunder may be issued bythe agency of the state so authorized by law.",65
"Arizona","1912-02-14","Any expenditures authorized pursuant to this paragraph shall be made either in the fiscal year in which the disaster is declared or in the succeeding fiscal year.  (b) Upon the affirmative vote of seventy per cent of the members of the governing board for expenditures directly necessitated by a natural of man-made disaster not declared by the Governor subject to the following:  (i) The governing board reducing expenditures below the expenditure limitation determined pursuant to subsection (1) of this section by the amount of the excess expenditure for the fiscal year following a fiscal year in which excess expenditures were made pursuant to this paragraph; or  (ii) Approval of the excess expenditure by a majority of the qualified voters either at a special election held by the governing board or at a regularly scheduled election for the nomination or election of the members of the governing board, in the manner provided by law.",153
"South Carolina","1778-11-01","That the form of impeaching all officers of the State for mal and corrupt conduct in their respective offices, not amenable to any other jurisdiction, be vested in the house of representatives.",32
"California","1879-05-07","No county, city, town, township, board of education, or school district, shall incur any indebtedness or liability in any manner or for any purpose exceeding in any year the income and revenue provided for such year, without the assent of two-thirds of the qualified electors thereof, voting at an election to be held for that purpose, nor unless before or at the time of incurring such indebtedness provision shall be made for the collection of an annual tax sufficient to pay the interest on such indebtedness as it falls due, and also provision to constitute a sinking fund for the payment of the principal thereof on or before maturity, Which shall not exceed 40 years from the time of contracting the same; provided, however, anything to the contrary herein notwithstanding, when two or more propositions for incurring any indebtedness or liability are submitted at the same election, the votes cast for and against each proposition shall be. counted separately, and when two-thirds of the qualified electors, voting on any one of such propositions, vote in favor thereof, such proposition shall be deemed adopted; provided further, however, that the City and County of San Francisco may at any time pay the unpaid claims, with  interest thereon at the rate of 5 per cent per annum, for materials furnished to and work done for said city and county during the forty-first, forty-second, forty-third, forty-fourth, and fiftieth fiscal years, and for unpaid teachers’ salaries for the fiftieth fiscal year, out of the income and revenue of any succeeding year or years, the amount to be paid in full of said claims not to exceed in the aggregate the sum of $500,000, and that no statute of limitations shall apply in any manner to these claims; and provided, further, that the City of Vallejo, of  Solano County, may pay its existing indebtedness, incurred in the construction of its waterworks, whenever two-thirds of the electors thereof, voting at an election held for that purpose, shall so decide, and that no statute of limitations shall apply in any manner; provided, further, that the City of Venice may pay all of its indebtedness incurred during the years 1914, 1915 and 1916 in excess of the income and revenue for said years, the amount to be paid in full of said indebtedness not to exceed in the aggregate the sum of $60,000, whenever two-thirds of the voters thereof voting at an election held for that purpose shall so decide, and that no statute of limitations shall apply in any manner.",422
"Maine","1819-12-06","The senate shall, on the said first Wednesday of January annually, determine who are elected by a majority of votes to be senators in each district; and, in case the full number of senators to be elected from each district shall not have been so elected, the members of the house of representatives, and such senators as shall have been elected, shall, from the highest number of the persons voted for, on said lists, equal to twice the number of senators deficient in every district, if there be so many voted for, elect, by joint ballot, the number of senators required; and in this manner all vacancies in the senate shall be supplied, as soon as may be, after such vacancies happen.",122
"Florida","1887-01-01","There is createda Judicial Circuit of the State of Florida, which is the Sixteenth Judicial Circuit and whichshall consist of the county of Monroe and for which there shall be elected, one CircuitJudge and one States' Attorney as provided by law.",41
"South Carolina","1778-11-01","Article 38.0 [Last Modified: 6/2/2004 4:06:50 PM]   XXXVIII That all persons and religious societies who acknowledge that there is one God, and a future state of rewards and punishments, and that God is publicly to be worshipped, shall be, freely tolerated.",45
"Maine","1819-12-06","Sheriffs shall be elected by the people of their respective counties, by a plurality of the votes given in on the Tuesday following the first Monday of November, and shall hold their offices for 4 years from the first day of January next after their election, unless sooner removed as hereinafter provided.",52
"South Carolina","1896-01-01","The General Assembly shall provide by law for the election of directors, trustees or managers of all corporations so that each stockholder shall be allowed to cast, in person or by proxy, as many votes as the number of shares he owns multiplied by the number of directors, trustees or managers to be elected, the same to be cast for any one candidate or to be distributed among two or more candidates.",72
"Florida","1968-11-05","(1)The supreme court may accept, reject, or modify in whole or in part the findings, conclusions,and recommendations of the commission and it may order that the justice or judge besubjected to appropriate discipline, or be removed from office with termination of compensationfor willful or persistent failure to perform judicial duties or for other conduct unbecominga member of the judiciary demonstrating a present unfitness to hold office, or be involuntarilyretired for any permanent disability that seriously interferes with the performance of judicialduties.",83
"Alabama","1901-11-28","For the purposes of this amendment,the words ""elected or appointed county official"" shall include any person appointed toserve the remaining term of an elected or appointed county official, but shall not includea judge, district attorney, legislator, constable, school board member, or any official electedfrom a judicial circuit.",48
"Montana","1973-07-01","After December 31, 1979, at least fifty percent (50%) of the severance tax shall be dedicated to the trust fund.",20
"Louisiana","1861-03-01","After an enumeration has been made as directed in the eighth article, the Legislature shall not pass any law until an apportion as directed in the eighth article, the Legislature shall not pass any law until an apportionment of representation in both Houses of the General Assembly be made.",49
"Alabama","1901-11-28","The legislature shall furtherprovide for the deposit, withdrawal, disbursement and expenditure by the designated associationof any funds received subject to the supervision and control of the activities authorizedherein by the department of agriculture and industries and the state board of agricultureand industries.",42
"Maryland","1867-08-17","The senior judge in length of service shall be the chief judge of the circuit (unless there is an additional judge of the Court of Appeals) ; the other judge or judges shall be associate judges.",35
